model,sample,sampled_stiffness_loss_pct,sampled_plastic_strain_index,sampled_relative_deformation_demand_index
full_hysteretic_damage,37,18.948687789298685,0.0032919017956560435,1.639936656559287
full_hysteretic_damage,38,17.772800485283724,0.0054751231178563845,1.8819956424621742
full_hysteretic_damage,39,18.843705430332083,0.004015212005078637,1.7269408465966125
full_hysteretic_damage,40,15.715661692894727,0.004498519765708799,1.7201914444509032
full_hysteretic_damage,41,19.611312447560547,0.004469810695914875,1.7999809595692022
full_hysteretic_damage,42,17.641657056075342,0.005725667793358608,1.9094201305222651
full_hysteretic_damage,43,18.289805345141477,0.0027715823624655626,1.563034137467467
full_hysteretic_damage,44,19.651908298069582,0.005194749598140835,1.8911151809938718
full_hysteretic_damage,45,18.840095277605634,0.0044170308823818704,1.7763735592956893
full_hysteretic_damage,46,21.525437719584584,0.004003629466998871,1.7844800990363345
full_hysteretic_damage,47,17.66574380584402,0.005166012925721164,1.8420052146894403
full_hysteretic_damage,48,25.87162049621658,0.003148421997812507,1.773736602071738
full_hysteretic_damage,49,17.04940465938562,0.0038813616672463097,1.6734493116349825
full_hysteretic_damage,50,20.454674273302025,0.003949311654433244,1.75363059073519
full_hysteretic_damage,51,17.255063676050693,0.004530849362593865,1.7561013408367472
full_hysteretic_damage,52,15.843279487557401,0.005758916139109143,1.8725677572926789
full_hysteretic_damage,53,16.366471666728742,0.006347363178694873,1.9546422953187224
full_hysteretic_damage,54,21.40317750013556,0.0036475149582954375,1.7363952541871492
full_hysteretic_damage,55,19.257134639310582,0.0031718925198290504,1.6313382564500782
full_hysteretic_damage,56,18.64142108913903,0.004602267873871525,1.7948037034754787
full_hysteretic_damage,57,17.72806443276966,0.005652720848187214,1.90255896379103
full_hysteretic_damage,58,18.635839508641958,0.00557149288029002,1.913802439090356
full_hysteretic_damage,59,18.910188168788896,0.004540974913783783,1.7931938162652177
full_hysteretic_damage,60,20.586794045460515,0.00523269875624503,1.9181568824919462
full_hysteretic_damage,61,18.25874516489157,0.005486523543247964,1.8945786401845637
full_hysteretic_damage,62,19.499554350111904,0.004526892581314257,1.8045729391976912
full_hysteretic_damage,63,18.677238136108883,0.003918150873784125,1.7114705101972263
full_hysteretic_damage,64,19.189092895344018,0.005115798321844458,1.8705146202935705
full_hysteretic_damage,65,18.877830228886847,0.00480797358567491,1.8253917058007354
full_hysteretic_damage,66,17.446519435058228,0.004307847283170708,1.7331609988164283
full_hysteretic_damage,67,23.028848126889702,0.004207938005821067,1.8458783141563686
full_hysteretic_damage,68,21.70511811099679,0.005864385766063977,2.026235353232225
full_hysteretic_damage,69,19.363833844226235,0.004686474253126168,1.8213259574810003
full_hysteretic_damage,70,20.403685381910723,0.005604505802569309,1.9604558172625477
full_hysteretic_damage,71,19.96244336648068,0.003708130979552885,1.7127123260796777
