sample,suction_amp_kpa,cyclic_amp,final_plastic_strain_index,stiffness_loss_pct,final_hydraulic_damage,final_seismic_damage,parameter_set,pc0_kpa
1192,102.86614991498644,0.2117304975880396,0.005690489831998587,18.738358430984437,0.2,0.013251495233382315,baseline_params_with_input_perturbation,120.0
1193,97.70016249040474,0.18353823152171428,0.003354770760656843,18.043979754567317,0.2,0.004819754162603034,baseline_params_with_input_perturbation,120.0
1194,103.9936980278785,0.19092877483720153,0.003923085899579176,18.217134365583686,0.2,0.006922345867801681,baseline_params_with_input_perturbation,120.0
1195,109.12025325059696,0.21359102422383908,0.0060543547608509956,18.843525173642327,0.2,0.014528519965656751,baseline_params_with_input_perturbation,120.0
1196,92.93025661840588,0.19159135704093458,0.0037121823795567025,18.1547170975493,0.2,0.006164421898812577,baseline_params_with_input_perturbation,120.0
1197,93.48392426800845,0.20494259396766942,0.004721014862841128,18.460049431467553,0.2,0.009872028810677412,baseline_params_with_input_perturbation,120.0
1198,107.60230564575753,0.19171690375498562,0.004037776677284426,18.25288541046929,0.2,0.00735646569855543,baseline_params_with_input_perturbation,120.0
1199,106.21957159916037,0.21958896622299875,0.006668764083613798,19.023319933842618,0.2,0.016711742053803106,baseline_params_with_input_perturbation,120.0
1200,108.0455204234847,0.2001162077198223,0.004708195364305187,18.450987058823408,0.2,0.009761985714283779,baseline_params_with_input_perturbation,120.0
1201,99.87797559035599,0.2028300667737956,0.004754095677086172,18.463546029756415,0.2,0.009914487504184766,baseline_params_with_input_perturbation,120.0
1202,106.01199555690124,0.19528403875196007,0.004274219888874624,18.323319748164867,0.2,0.008211739799144501,baseline_params_with_input_perturbation,120.0
1203,106.08233226953013,0.20257943958119282,0.0048791686837690055,18.502095883018,0.2,0.010382592865218051,baseline_params_with_input_perturbation,120.0
1204,92.54854043670268,0.19412883338668918,0.0038670828766997935,18.20172310180599,0.2,0.006735209093358147,baseline_params_with_input_perturbation,120.0
1205,96.23924754817568,0.19881665596898904,0.004315763944142433,18.336842209441684,0.2,0.008375941114648924,baseline_params_with_input_perturbation,120.0
1206,104.11060183242478,0.18721778098580857,0.0036806121217598338,18.144179270864335,0.2,0.006036462574781074,baseline_params_with_input_perturbation,120.0
1207,105.66386192733141,0.2176577945076948,0.006422545011120403,18.95247673216559,0.2,0.015851503176296248,baseline_params_with_input_perturbation,120.0
1208,90.99390202144598,0.2050960636576091,0.004636648000976399,18.43596206197494,0.2,0.009579539323981198,baseline_params_with_input_perturbation,120.0
1209,101.87328046623485,0.21984439149830864,0.0065747658920699845,18.994274165603684,0.2,0.016359043439473395,baseline_params_with_input_perturbation,120.0
1210,93.70507471452082,0.20770956289804748,0.004975529559426791,18.536187316215248,0.2,0.010796560268327796,baseline_params_with_input_perturbation,120.0
1211,95.33166382713122,0.1808469577711298,0.0031704503372360438,17.98722902734511,0.2,0.004130638189190115,baseline_params_with_input_perturbation,120.0
1212,98.83354252877454,0.20509455474173094,0.0049207556445806586,18.514380537695907,0.2,0.010531763672021353,baseline_params_with_input_perturbation,120.0
1213,99.16923177702435,0.21058477837053152,0.005457669076590795,18.672151593540764,0.2,0.012447555064423365,baseline_params_with_input_perturbation,120.0
1214,90.22999007160362,0.18432399760055737,0.0032287126528874497,18.005242309522508,0.2,0.004349370901344437,baseline_params_with_input_perturbation,120.0
1215,97.24772847643722,0.1957897641916663,0.004117960248921162,18.276726065836833,0.2,0.007645959370875643,baseline_params_with_input_perturbation,120.0
1216,101.00342328668013,0.19205566154852424,0.003946275916023645,18.222357155014592,0.2,0.006985765453748633,baseline_params_with_input_perturbation,120.0
